OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family	Genus
Otu00379	20	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00230	19	82.5242718446602	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	17	77.2420943494039	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	18	33.9875538535184	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	8	25.2862595419847	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	1	22.1159593544531	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	25	12.9265770423992	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	22	10.9845402766477	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	28	8.75592849325064	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	26	7.68919465803319	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	27	6.67655786350148	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	4	6.13873542050338	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	23	5.74988021082894	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	13	2.79329608938548	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	24	2.73672687465791	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	16	2.71370420624152	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	21	1.17370892018779	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	20	0.832639467110741	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	10	0	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00921	13	64.2458100558659	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	10	13.353115727003	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
