OTU	Sample	Abundance	Kingdom	Phylum	Class	Order
Otu01094	VC3	8.07015525410036	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01094	PNC3	1.02603307942853	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01094	PNC2	0.798594473726242	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01316	VC1	8.81581684452384	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	PNC1	7.47009090862816	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	PNC2	6.8136767176682	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	PNC3	5.19234573623744	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	VC2	1.44107631808791	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	VC3	0.172801105927078	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu00135	PNC1	187.006196877212	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	PNC3	163.959119146883	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	PNC2	103.183280132607	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	VC1	76.9584903208137	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	VC3	67.8018475277753	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	VC2	36.3215858622922	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu01531	PNC2	24.6990430466536	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01531	VC3	10.1160843853574	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01531	PNC1	9.45613092573276	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01531	PNC3	9.18999769668383	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01531	VC1	6.83987464722233	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01531	VC2	2.06180878239579	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01047	PNC1	13.0889147585368	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	VC1	6.0113455429287	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	VC2	3.70919881305638	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	VC3	0.332367086460028	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	PNC3	0	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	PNC2	0	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu00228	VC3	229.586581437294	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	VC2	203.256768448481	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	VC1	179.00746259897	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	PNC1	23.555721209599	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	PNC3	12.0706301826406	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	PNC2	4.85928633237353	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00094	VC2	288.628467741172	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	VC1	232.391639801687	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	PNC3	129.283232313469	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	PNC1	109.638898818126	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	VC3	97.5971064964903	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	PNC2	79.800008099344	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu02336	PNC2	7.0663146595154	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
