OTU	Sample	Abundance	Kingdom	Phylum	Class	Order
Otu01531	VC2	0.0101075494190693	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01047	PNC1	0.115774671150034	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	VC1	0.0363446443309235	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	VC2	0.0181835050021257	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	VC3	0.00189292894663249	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	PNC3	0	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu01047	PNC2	0	Bacteria	Chlorobi	Chlorobia	Chlorobiales
Otu00228	VC3	1.30756354484371	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	VC1	1.08228058332028	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	VC2	0.996420157579377	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	PNC1	0.208356149234184	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	PNC3	0.105433783641913	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00228	PNC2	0.0306140678119788	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu00094	VC2	1.41493552959565	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	VC1	1.40504175541995	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	PNC3	1.12925507102924	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	PNC1	0.969783033206902	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	VC3	0.555844412761968	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu00094	PNC2	0.502749311781444	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales
Otu02336	PNC2	0.0445186023976319	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu02336	VC1	0.0306406273972787	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu02336	VC2	0.0149829206914392	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu02336	VC3	0.00189292894663249	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu02336	PNC3	0	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu02336	PNC1	0	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu03141	VC1	0.014618175881993	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	VC3	0.0110332403517584	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	VC2	0.00484893466723353	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	PNC2	0	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	PNC1	0	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	PNC3	0	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu00804	VC1	0.196698274027423	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00804	PNC3	0.0359708803888829	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00804	VC3	0.0203827624648321	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00804	PNC2	0.00777573836029565	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00804	PNC1	0.00584159200084877	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
